Year,Table,County,Method of Delivery,Count,Percent
2008,14,Hamilton,Vaginal Deliveries,25,
2008,14,Herkimer,Total Births,646,
2008,14,Herkimer,Vaginal Deliveries,409,
2008,14,Herkimer,Not Stated,3,
2008,14,Jefferson,Vaginal Deliveries,1557,
2008,14,Jefferson,Not Stated,11,
2008,14,Jefferson,Total Births,2127,
2008,14,Lewis,Not Stated,12,
2008,14,Lewis,Vaginal Deliveries,218,
2008,14,Lewis,Total Births,335,
2008,14,Livingston,Vaginal Deliveries,403,
2008,14,Livingston,Total Births,589,
2008,14,Livingston,Not Stated,0,
2008,14,Madison,Total Births,699,
2008,14,Madison,Vaginal Deliveries,468,
2008,14,Madison,Not Stated,3,
2008,14,Monroe,Not Stated,1,
2008,14,Monroe,Total Births,8707,
2008,14,Monroe,Vaginal Deliveries,6008,
2008,14,Montgomery,Vaginal Deliveries,375,
2008,14,Montgomery,Not Stated,33,
2008,14,Montgomery,Total Births,645,
2008,14,Nassau,Not Stated,18,
2008,14,Nassau,Vaginal Deliveries,8804,
2008,14,Nassau,Total Births,15033,
2008,14,Niagara,Vaginal Deliveries,1363,
2008,14,Niagara,Not Stated,0,
2008,14,Niagara,Total Births,2263,
2008,14,Oneida,Vaginal Deliveries,1740,
2008,14,Oneida,Total Births,2617,
2008,14,Oneida,Not Stated,1,
2008,14,Onondaga,Vaginal Deliveries,3802,
2008,14,Onondaga,Not Stated,2,
2008,14,Onondaga,Total Births,5553,
2008,14,Ontario,Not Stated,2,
2008,14,Ontario,Total Births,1111,
2008,14,Ontario,Vaginal Deliveries,788,
2008,14,Orange,Vaginal Deliveries,3504,
2008,14,Orange,Total Births,5406,
2008,14,Orange,Not Stated,85,
2008,14,Orleans,Not Stated,2,
2008,14,Orleans,Total Births,418,
2008,14,Orleans,Vaginal Deliveries,277,
2008,14,Oswego,Vaginal Deliveries,946,
2008,14,Oswego,Not Stated,3,
2008,14,Oswego,Total Births,1377,
2008,14,Otsego,Vaginal Deliveries,396,
2008,14,Otsego,Not Stated,1,
2008,14,Otsego,Total Births,550,
2008,14,Putnam,Total Births,984,
2008,14,Putnam,Vaginal Deliveries,589,
2008,14,Putnam,Not Stated,0,
2008,14,Rensselaer,Not Stated,4,
2008,14,Rensselaer,Vaginal Deliveries,1168,
2008,14,Rensselaer,Total Births,1723,
2008,14,Rockland,Vaginal Deliveries,3305,
2008,14,Rockland,Total Births,4956,
2008,14,Rockland,Not Stated,283,
2008,14,St Lawrence,Vaginal Deliveries,706,
2008,14,St Lawrence,Not Stated,52,
2008,14,St Lawrence,Total Births,1253,
2008,14,Saratoga,Total Births,2300,
2008,14,Saratoga,Not Stated,5,
2008,14,Saratoga,Vaginal Deliveries,1551,
2008,14,Schenectady,Vaginal Deliveries,1270,
2008,14,Schenectady,Not Stated,1,
2008,14,Schenectady,Total Births,1802,
2008,14,Schoharie,Vaginal Deliveries,238,
2008,14,Schoharie,Not Stated,0,
2008,14,Schoharie,Total Births,327,
2008,14,Schuyler,Not Stated,0,
2008,14,Schuyler,Total Births,182,
2008,14,Schuyler,Vaginal Deliveries,106,
2008,14,Seneca,Vaginal Deliveries,275,
2008,14,Seneca,Total Births,381,
2008,14,Seneca,Not Stated,2,
2008,14,Steuben,Not Stated,36,
2008,14,Steuben,Total Births,1036,
2008,14,Steuben,Vaginal Deliveries,651,
2008,14,Suffolk,Vaginal Deliveries,10116,
2008,14,Suffolk,Total Births,17984,
2008,14,Suffolk,Not Stated,6,
2008,14,Sullivan,Total Births,959,
2008,14,Sullivan,Not Stated,3,
2008,14,Sullivan,Vaginal Deliveries,611,
2008,14,Tioga,Not Stated,2,
2008,14,Tioga,Total Births,508,
2008,14,Tioga,Vaginal Deliveries,353,
2008,14,Tompkins,Not Stated,2,
2008,14,Tompkins,Total Births,886,
2008,14,Tompkins,Vaginal Deliveries,581,
2008,14,Ulster,Total Births,1800,
2008,14,Ulster,Vaginal Deliveries,1107,
2008,14,Ulster,Not Stated,2,
2008,14,Warren,Not Stated,0,
2008,14,Warren,Total Births,658,
2008,14,Warren,Vaginal Deliveries,431,
2008,14,Washington,Total Births,662,
2008,14,Washington,Vaginal Deliveries,431,
2008,14,Washington,Not Stated,1,
2008,14,Wayne,Not Stated,1,
2008,14,Wayne,Total Births,1095,
2008,14,Wayne,Vaginal Deliveries,730,
2008,14,Westchester,Total Births,11517,
2008,14,Westchester,Vaginal Deliveries,6896,
2008,14,Westchester,Not Stated,32,
2008,14,Wyoming,Not Stated,2,
2008,14,Wyoming,Total Births,395,
2008,14,Wyoming,Vaginal Deliveries,283,
2008,14,Yates,Not Stated,0,
2008,14,Yates,Vaginal Deliveries,225,
2008,14,Yates,Total Births,290,
2008,14,New York State,Cesarean Deliveries,85144,34.36
2008,14,New York City,Cesarean Deliveries,39276,32.55
2008,14,Bronx,Cesarean Deliveries,7141,31.49
2008,14,Kings,Cesarean Deliveries,12223,29.60
2008,14,New York,Cesarean Deliveries,6704,33.39
2008,14,Queens,Cesarean Deliveries,10948,35.42
2008,14,Richmond,Cesarean Deliveries,2260,39.58
2008,14,Rest of State,Cesarean Deliveries,45868,36.08
2008,14,Albany,Cesarean Deliveries,1087,34.62
2008,14,Allegany,Cesarean Deliveries,172,33.40
2008,14,Broome,Cesarean Deliveries,676,32.63
2008,14,Cattaraugus,Cesarean Deliveries,304,32.83
2008,14,Cayuga,Cesarean Deliveries,206,24.70
2008,14,Chautauqua,Cesarean Deliveries,504,36.98
2008,14,Chemung,Cesarean Deliveries,250,26.15
2008,14,Chenango,Cesarean Deliveries,150,27.83
2008,14,Clinton,Cesarean Deliveries,225,29.37
2008,14,Columbia,Cesarean Deliveries,206,33.66
2008,14,Cortland,Cesarean Deliveries,190,33.10
2008,14,Delaware,Cesarean Deliveries,138,30.67
2008,14,Dutchess,Cesarean Deliveries,1083,37.09
2008,14,Erie,Cesarean Deliveries,3307,34.21
2008,14,Essex,Cesarean Deliveries,120,32.00
2008,14,Franklin,Cesarean Deliveries,178,33.71
2008,14,Fulton,Cesarean Deliveries,227,36.09
2008,14,Genesee,Cesarean Deliveries,202,32.17
2008,14,Greene,Cesarean Deliveries,152,34.62
2008,14,Hamilton,Cesarean Deliveries,9,26.47
2008,14,Herkimer,Cesarean Deliveries,234,36.39
2008,14,Jefferson,Cesarean Deliveries,559,26.42
2008,14,Lewis,Cesarean Deliveries,105,32.51
2008,14,Livingston,Cesarean Deliveries,186,31.58
2008,14,Madison,Cesarean Deliveries,228,32.76
2008,14,Monroe,Cesarean Deliveries,2698,30.99
2008,14,Montgomery,Cesarean Deliveries,237,38.73
2008,14,Nassau,Cesarean Deliveries,6211,41.37
2008,14,Niagara,Cesarean Deliveries,900,39.77
2008,14,Oneida,Cesarean Deliveries,876,33.49
2008,14,Onondaga,Cesarean Deliveries,1749,31.51
2008,14,Ontario,Cesarean Deliveries,321,28.94
2008,14,Orange,Cesarean Deliveries,1817,34.15
2008,14,Orleans,Cesarean Deliveries,139,33.41
2008,14,Oswego,Cesarean Deliveries,428,31.15
2008,14,Otsego,Cesarean Deliveries,153,27.87
2008,14,Putnam,Cesarean Deliveries,395,40.14
2008,14,Rensselaer,Cesarean Deliveries,551,32.05
2008,14,Rockland,Cesarean Deliveries,1368,29.27
2008,14,St Lawrence,Cesarean Deliveries,495,41.22
2008,14,Saratoga,Cesarean Deliveries,744,32.42
2008,14,Schenectady,Cesarean Deliveries,531,29.48
2008,14,Schoharie,Cesarean Deliveries,89,27.22
2008,14,Schuyler,Cesarean Deliveries,76,41.76
2008,14,Seneca,Cesarean Deliveries,104,27.44
2008,14,Steuben,Cesarean Deliveries,349,34.90
2008,14,Suffolk,Cesarean Deliveries,7862,43.73
2008,14,Sullivan,Cesarean Deliveries,345,36.09
2008,14,Tioga,Cesarean Deliveries,153,30.24
2008,14,Tompkins,Cesarean Deliveries,303,34.28
2008,14,Ulster,Cesarean Deliveries,691,38.43
2008,14,Warren,Cesarean Deliveries,227,34.50
2008,14,Washington,Cesarean Deliveries,230,34.80
2008,14,Wayne,Cesarean Deliveries,364,33.27
2008,14,Westchester,Cesarean Deliveries,4589,39.96
2008,14,Wyoming,Cesarean Deliveries,110,27.99
2008,14,Yates,Cesarean Deliveries,65,22.41
2008,14,New York State,Primary C-Sections,57792,23.32
2008,14,New York City,Primary C-Sections,30642,25.39
2008,14,Bronx,Primary C-Sections,5339,23.54
2008,14,Kings,Primary C-Sections,9818,23.78
2008,14,New York,Primary C-Sections,5665,28.21
2008,14,Queens,Primary C-Sections,8259,26.72
2008,14,Richmond,Primary C-Sections,1561,27.34
2008,14,Rest of State,Primary C-Sections,27150,21.36
2008,14,Albany,Primary C-Sections,689,21.94
2008,14,Allegany,Primary C-Sections,107,20.78
2008,14,Broome,Primary C-Sections,388,18.73
2008,14,Cattaraugus,Primary C-Sections,166,17.93
2008,14,Cayuga,Primary C-Sections,113,13.55
2008,14,Chautauqua,Primary C-Sections,278,20.40
2008,14,Chemung,Primary C-Sections,149,15.59
2008,14,Chenango,Primary C-Sections,88,16.33
2008,14,Clinton,Primary C-Sections,145,18.93
2008,14,Columbia,Primary C-Sections,127,20.75
2008,14,Cortland,Primary C-Sections,110,19.16
2008,14,Delaware,Primary C-Sections,69,15.33
2008,14,Dutchess,Primary C-Sections,660,22.60
2008,14,Erie,Primary C-Sections,1923,19.89
2008,14,Essex,Primary C-Sections,85,22.67
2008,14,Franklin,Primary C-Sections,97,18.37
2008,14,Fulton,Primary C-Sections,149,23.69
2008,14,Genesee,Primary C-Sections,102,16.24
2008,14,Greene,Primary C-Sections,82,18.68
2008,14,Hamilton,Primary C-Sections,9,26.47
2008,14,Herkimer,Primary C-Sections,118,18.35
2008,14,Jefferson,Primary C-Sections,326,15.41
2008,14,Lewis,Primary C-Sections,60,18.58
2008,14,Livingston,Primary C-Sections,97,16.47
2008,14,Madison,Primary C-Sections,113,16.24
2008,14,Monroe,Primary C-Sections,1570,18.03
2008,14,Montgomery,Primary C-Sections,128,20.92
2008,14,Nassau,Primary C-Sections,3723,24.80
2008,14,Niagara,Primary C-Sections,536,23.69
2008,14,Oneida,Primary C-Sections,497,19.00
2009,14,New York State,Total Births,246592,
2008,14,Onondaga,Primary C-Sections,1035,18.65
2008,14,Ontario,Primary C-Sections,192,17.31
2008,14,Orange,Primary C-Sections,1090,20.48
2008,14,Orleans,Primary C-Sections,79,18.99
2008,14,Oswego,Primary C-Sections,231,16.81
2008,14,Otsego,Primary C-Sections,101,18.40
2008,14,Putnam,Primary C-Sections,242,24.59
2008,14,Rensselaer,Primary C-Sections,354,20.59
2008,14,Rockland,Primary C-Sections,937,20.05
2008,14,St Lawrence,Primary C-Sections,297,24.73
2008,14,Saratoga,Primary C-Sections,435,18.95
2008,14,Schenectady,Primary C-Sections,316,17.55
2008,14,Schoharie,Primary C-Sections,58,17.74
2008,14,Schuyler,Primary C-Sections,53,29.12
2008,14,Seneca,Primary C-Sections,66,17.41
2008,14,Steuben,Primary C-Sections,187,18.70
2008,14,Suffolk,Primary C-Sections,4328,24.07
2008,14,Sullivan,Primary C-Sections,187,19.56
2008,14,Tioga,Primary C-Sections,94,18.58
2008,14,Tompkins,Primary C-Sections,204,23.08
2008,14,Ulster,Primary C-Sections,415,23.08
2008,14,Warren,Primary C-Sections,136,20.67
2008,14,Washington,Primary C-Sections,134,20.27
2008,14,Wayne,Primary C-Sections,193,17.64
2008,14,Westchester,Primary C-Sections,2985,25.99
2008,14,Wyoming,Primary C-Sections,58,14.76
2008,14,Yates,Primary C-Sections,39,13.45
2008,14,New York State,Repeat C-Sections,27352,11.04
2008,14,New York City,Repeat C-Sections,8634,7.16
2008,14,Bronx,Repeat C-Sections,1802,7.95
2008,14,Kings,Repeat C-Sections,2405,5.82
2008,14,New York,Repeat C-Sections,1039,5.17
2008,14,Queens,Repeat C-Sections,2689,8.70
2008,14,Richmond,Repeat C-Sections,699,12.24
2008,14,Rest of State,Repeat C-Sections,18718,14.72
2008,14,Albany,Repeat C-Sections,398,12.68
2008,14,Allegany,Repeat C-Sections,65,12.62
2008,14,Broome,Repeat C-Sections,288,13.90
2008,14,Cattaraugus,Repeat C-Sections,138,14.90
2009,14,New York State,Vaginal Deliveries,159917,
2008,14,Cayuga,Repeat C-Sections,93,11.15
2008,14,Chautauqua,Repeat C-Sections,226,16.58
2008,14,Chemung,Repeat C-Sections,101,10.56
2014,14,New York State,Not Stated,3663,
2008,14,Chenango,Repeat C-Sections,62,11.50
2008,14,Clinton,Repeat C-Sections,80,10.44
2008,14,Columbia,Repeat C-Sections,79,12.91
2008,14,Cortland,Repeat C-Sections,80,13.94
2008,14,Delaware,Repeat C-Sections,69,15.33
2008,14,Dutchess,Repeat C-Sections,423,14.49
2008,14,Erie,Repeat C-Sections,1384,14.32
2008,14,Essex,Repeat C-Sections,35,9.33
2008,14,Franklin,Repeat C-Sections,81,15.34
2008,14,Fulton,Repeat C-Sections,78,12.40
2008,14,Genesee,Repeat C-Sections,100,15.92
2008,14,Greene,Repeat C-Sections,70,15.95
2008,14,Hamilton,Repeat C-Sections,0,0.00
2008,14,Herkimer,Repeat C-Sections,116,18.04
2008,14,Jefferson,Repeat C-Sections,233,11.01
2008,14,Lewis,Repeat C-Sections,45,13.93
2008,14,Livingston,Repeat C-Sections,89,15.11
2008,14,Madison,Repeat C-Sections,115,16.52
2008,14,Monroe,Repeat C-Sections,1128,12.96
2008,14,Montgomery,Repeat C-Sections,109,17.81
2008,14,Nassau,Repeat C-Sections,2488,16.57
2008,14,Niagara,Repeat C-Sections,364,16.08
2008,14,Oneida,Repeat C-Sections,379,14.49
2008,14,Onondaga,Repeat C-Sections,714,12.86
2008,14,Ontario,Repeat C-Sections,129,11.63
2008,14,Orange,Repeat C-Sections,727,13.66
2008,14,Orleans,Repeat C-Sections,60,14.42
2008,14,Oswego,Repeat C-Sections,197,14.34
2008,14,Otsego,Repeat C-Sections,52,9.47
2008,14,Putnam,Repeat C-Sections,153,15.55
2008,14,Rensselaer,Repeat C-Sections,197,11.46
2008,14,Rockland,Repeat C-Sections,431,9.22
2008,14,St Lawrence,Repeat C-Sections,198,16.49
2008,14,Saratoga,Repeat C-Sections,309,13.46
2008,14,Schenectady,Repeat C-Sections,215,11.94
2008,14,Schoharie,Repeat C-Sections,31,9.48
2008,14,Schuyler,Repeat C-Sections,23,12.64
2008,14,Seneca,Repeat C-Sections,38,10.03
2008,14,Steuben,Repeat C-Sections,162,16.20
2008,14,Suffolk,Repeat C-Sections,3534,19.66
2008,14,Sullivan,Repeat C-Sections,158,16.53
2008,14,Tioga,Repeat C-Sections,59,11.66
2008,14,Tompkins,Repeat C-Sections,99,11.20
2008,14,Ulster,Repeat C-Sections,276,15.35
2008,14,Warren,Repeat C-Sections,91,13.83
2008,14,Washington,Repeat C-Sections,96,14.52
2008,14,Wayne,Repeat C-Sections,171,15.63
2008,14,Westchester,Repeat C-Sections,1604,13.97
2008,14,Wyoming,Repeat C-Sections,52,13.23
2008,14,Yates,Repeat C-Sections,26,8.97
2008,14,New York State,Vaginal After C-Section,3095,10.17
2008,14,New York City,Vaginal After C-Section,1552,15.24
2008,14,Bronx,Vaginal After C-Section,319,15.04
2008,14,Kings,Vaginal After C-Section,689,22.27
2008,14,New York,Vaginal After C-Section,197,15.94
2008,14,Queens,Vaginal After C-Section,279,9.40
2008,14,Richmond,Vaginal After C-Section,68,8.87
2008,14,Rest of State,Vaginal After C-Section,1543,7.62
2008,14,Albany,Vaginal After C-Section,54,11.95
2008,14,Allegany,Vaginal After C-Section,3,4.41
2008,14,Broome,Vaginal After C-Section,27,8.57
2008,14,Cattaraugus,Vaginal After C-Section,7,4.83
2008,14,Cayuga,Vaginal After C-Section,4,4.12
2008,14,Chautauqua,Vaginal After C-Section,4,1.74
2008,14,Chemung,Vaginal After C-Section,11,9.82
2008,14,Chenango,Vaginal After C-Section,8,11.43
2008,14,Clinton,Vaginal After C-Section,5,5.88
2008,14,Columbia,Vaginal After C-Section,10,11.24
2008,14,Cortland,Vaginal After C-Section,2,2.44
2008,14,Delaware,Vaginal After C-Section,7,9.21
2008,14,Dutchess,Vaginal After C-Section,52,10.95
2008,14,Erie,Vaginal After C-Section,161,10.42
2008,14,Essex,Vaginal After C-Section,2,5.41
2008,14,Franklin,Vaginal After C-Section,6,6.90
2008,14,Fulton,Vaginal After C-Section,8,9.30
2008,14,Genesee,Vaginal After C-Section,10,9.09
2008,14,Greene,Vaginal After C-Section,5,6.67
2008,14,Hamilton,Vaginal After C-Section,0,0.00
2008,14,Herkimer,Vaginal After C-Section,5,4.13
2008,14,Jefferson,Vaginal After C-Section,41,14.96
2008,14,Lewis,Vaginal After C-Section,8,15.09
2008,14,Livingston,Vaginal After C-Section,7,7.29
2008,14,Madison,Vaginal After C-Section,10,8.00
2008,14,Monroe,Vaginal After C-Section,188,14.29
2008,14,Montgomery,Vaginal After C-Section,6,5.22
2008,14,Nassau,Vaginal After C-Section,98,3.79
2008,14,Niagara,Vaginal After C-Section,24,6.19
2008,14,Oneida,Vaginal After C-Section,36,8.67
2008,14,Onondaga,Vaginal After C-Section,81,10.19
2008,14,Ontario,Vaginal After C-Section,22,14.57
2008,14,Orange,Vaginal After C-Section,87,10.69
2008,14,Orleans,Vaginal After C-Section,5,7.69
2008,14,Oswego,Vaginal After C-Section,19,8.80
2008,14,Otsego,Vaginal After C-Section,8,13.33
2008,14,Putnam,Vaginal After C-Section,10,6.13
2008,14,Rensselaer,Vaginal After C-Section,24,10.86
2008,14,Rockland,Vaginal After C-Section,73,14.48
2008,14,St Lawrence,Vaginal After C-Section,13,6.16
2008,14,Saratoga,Vaginal After C-Section,36,10.43
2008,14,Schenectady,Vaginal After C-Section,23,9.66
2008,14,Schoharie,Vaginal After C-Section,4,11.43
2008,14,Schuyler,Vaginal After C-Section,1,4.17
2008,14,Seneca,Vaginal After C-Section,4,9.52
2008,14,Steuben,Vaginal After C-Section,12,6.90
2008,14,Suffolk,Vaginal After C-Section,147,3.99
2008,14,Sullivan,Vaginal After C-Section,10,5.95
2008,14,Tioga,Vaginal After C-Section,10,14.49
2008,14,Tompkins,Vaginal After C-Section,15,13.16
2008,14,Ulster,Vaginal After C-Section,18,6.12
2008,14,Warren,Vaginal After C-Section,1,1.09
2008,14,Washington,Vaginal After C-Section,4,4.00
2008,14,Wayne,Vaginal After C-Section,8,4.47
2008,14,Westchester,Vaginal After C-Section,85,5.03
2008,14,Wyoming,Vaginal After C-Section,8,13.33
2008,14,Yates,Vaginal After C-Section,6,18.75
2009,14,New York State,Not Stated,1116,
2009,14,New York City,Total Births,121745,
2009,14,New York City,Not Stated,369,
2009,14,New York City,Vaginal Deliveries,81168,
2009,14,Bronx,Total Births,23000,
2009,14,Bronx,Not Stated,125,
2009,14,Bronx,Vaginal Deliveries,15338,
2009,14,Kings,Total Births,42101,
2009,14,Kings,Not Stated,117,
2014,14,New York State,Total Births,238000,
2009,14,Kings,Vaginal Deliveries,29424,
2009,14,New York,Not Stated,76,
2009,14,New York,Vaginal Deliveries,13280,
2009,14,New York,Total Births,20167,
2009,14,Queens,Vaginal Deliveries,19631,
2009,14,Queens,Total Births,30748,
2009,14,Queens,Not Stated,46,
2009,14,Richmond,Total Births,5729,
2009,14,Richmond,Not Stated,5,
2009,14,Richmond,Vaginal Deliveries,3495,
2009,14,Rest of State,Not Stated,747,
2009,14,Rest of State,Vaginal Deliveries,78749,
2009,14,Rest of State,Total Births,124847,
2009,14,Albany,Total Births,3176,
2009,14,Albany,Not Stated,0,
2009,14,Albany,Vaginal Deliveries,2086,
2009,14,Allegany,Total Births,521,
2009,14,Allegany,Not Stated,6,
2009,14,Allegany,Vaginal Deliveries,351,
2009,14,Broome,Total Births,2061,
2009,14,Broome,Not Stated,1,
2009,14,Broome,Vaginal Deliveries,1322,
2009,14,Cattaraugus,Not Stated,100,
2009,14,Cattaraugus,Vaginal Deliveries,585,
2009,14,Cattaraugus,Total Births,978,
2009,14,Cayuga,Vaginal Deliveries,600,
2009,14,Cayuga,Total Births,812,
2009,14,Cayuga,Not Stated,1,
2009,14,Chautauqua,Not Stated,28,
2009,14,Chautauqua,Total Births,1442,
2009,14,Chautauqua,Vaginal Deliveries,901,
2009,14,Chemung,Not Stated,0,
2009,14,Chemung,Vaginal Deliveries,676,
2009,14,Chemung,Total Births,978,
2009,14,Chenango,Vaginal Deliveries,364,
2009,14,Chenango,Total Births,524,
2009,14,Chenango,Not Stated,1,
2009,14,Clinton,Not Stated,1,
2009,14,Clinton,Vaginal Deliveries,522,
2009,14,Clinton,Total Births,787,
2009,14,Columbia,Vaginal Deliveries,394,
2009,14,Columbia,Total Births,565,
2009,14,Columbia,Not Stated,3,
2009,14,Cortland,Total Births,556,
2009,14,Cortland,Not Stated,0,
2009,14,Cortland,Vaginal Deliveries,370,
2009,14,Delaware,Total Births,458,
2009,14,Delaware,Vaginal Deliveries,318,
2009,14,Delaware,Not Stated,0,
2009,14,Dutchess,Not Stated,5,
2009,14,Dutchess,Total Births,2917,
2009,14,Dutchess,Vaginal Deliveries,1820,
2009,14,Erie,Vaginal Deliveries,6307,
2009,14,Erie,Not Stated,7,
2009,14,Erie,Total Births,9797,
2009,14,Essex,Not Stated,0,
2009,14,Essex,Total Births,351,
2009,14,Essex,Vaginal Deliveries,231,
2009,14,Franklin,Not Stated,3,
2009,14,Franklin,Vaginal Deliveries,314,
2009,14,Franklin,Total Births,514,
2009,14,Fulton,Total Births,556,
2009,14,Fulton,Vaginal Deliveries,319,
2009,14,Fulton,Not Stated,3,
2009,14,Genesee,Not Stated,0,
2009,14,Genesee,Vaginal Deliveries,447,
2009,14,Genesee,Total Births,657,
2009,14,Greene,Vaginal Deliveries,278,
2009,14,Greene,Not Stated,1,
2009,14,Greene,Total Births,442,
2009,14,Hamilton,Not Stated,0,
2009,14,Hamilton,Vaginal Deliveries,28,
2009,14,Hamilton,Total Births,40,
2009,14,Herkimer,Total Births,671,
2009,14,Herkimer,Not Stated,7,
2009,14,Herkimer,Vaginal Deliveries,424,
2009,14,Jefferson,Not Stated,8,
2009,14,Jefferson,Vaginal Deliveries,1477,
2009,14,Jefferson,Total Births,1995,
2009,14,Lewis,Not Stated,13,
2009,14,Lewis,Total Births,351,
2009,14,Lewis,Vaginal Deliveries,226,
2009,14,Livingston,Not Stated,1,
2009,14,Livingston,Total Births,574,
2009,14,Livingston,Vaginal Deliveries,387,
2009,14,Madison,Total Births,680,
2009,14,Madison,Not Stated,4,
2009,14,Madison,Vaginal Deliveries,463,
2009,14,Monroe,Total Births,8580,
2009,14,Monroe,Not Stated,3,
2009,14,Monroe,Vaginal Deliveries,5867,
2009,14,Montgomery,Vaginal Deliveries,365,
2009,14,Montgomery,Not Stated,46,
2009,14,Montgomery,Total Births,611,
2009,14,Nassau,Vaginal Deliveries,8636,
2009,14,Nassau,Not Stated,7,
2009,14,Nassau,Total Births,14683,
2009,14,Niagara,Not Stated,2,
2009,14,Niagara,Total Births,2305,
2009,14,Niagara,Vaginal Deliveries,1291,
2009,14,Oneida,Not Stated,1,
2009,14,Oneida,Total Births,2633,
2009,14,Oneida,Vaginal Deliveries,1707,
2009,14,Onondaga,Not Stated,2,
2009,14,Onondaga,Total Births,5479,
2009,14,Onondaga,Vaginal Deliveries,3727,
2009,14,Ontario,Vaginal Deliveries,772,
2009,14,Ontario,Not Stated,0,
2009,14,Ontario,Total Births,1051,
2009,14,Orange,Not Stated,80,
2009,14,Orange,Total Births,5062,
2009,14,Orange,Vaginal Deliveries,3353,
2009,14,Orleans,Vaginal Deliveries,292,
2009,14,Orleans,Not Stated,6,
2009,14,Orleans,Total Births,441,
2009,14,Oswego,Not Stated,6,
2009,14,Oswego,Total Births,1409,
2009,14,Oswego,Vaginal Deliveries,958,
2009,14,Otsego,Total Births,484,
2009,14,Otsego,Not Stated,0,
2009,14,Otsego,Vaginal Deliveries,334,
2009,14,Putnam,Not Stated,0,
2009,14,Putnam,Total Births,894,
2009,14,Putnam,Vaginal Deliveries,555,
2009,14,Rensselaer,Not Stated,4,
2009,14,Rensselaer,Vaginal Deliveries,1170,
2009,14,Rensselaer,Total Births,1772,
2009,14,Rockland,Not Stated,260,
